awards,code,nominating,voting
Best Picture,picture1822,Complete,None
Best Actor,actor1822,Complete,None
Best Actress,actress1822,Complete,None
Best Score,score1822,Complete,None
Best Supp Actor,suppactor1822,Complete,None
Best Supp Actress,suppactress1822,Complete,None
Best Protaganist,protag1822,Complete,None
Best Antaganist,antag1822,Complete,None
Best Effects,effects1822,Complete,None
Best Scene,scene1822,Complete,None
Best Ending,ending1822,Complete,None
Best Opening,opening1822,Complete,None
Worst Picture,worst1822,Complete,None
Best Cinematography,cinemat1822,Complete,None
Best On Screen Combo,combo1822,Complete,None
Best Message,message1822,Complete,None
Best Performance,perform1822,Complete,None
Best Editing,editing1822,Complete,None
Best Costume Design,costume1822,Complete,None
