awards,code,completed
Best Picture,picture1822,No
Best Actor,actor1822,No
Best Actress,actress1822,No
Best Score,score1822,No
Best Supp Actor,suppactor1822,No
Best Supp Actress,suppactress1822,No
Best Protaganist,protag1822,No
Best Antaganist,antag1822,No
Best Effects,effects1822,No
Best Scene,scene1822,No
Best Ending,ending1822,No
Best Opening,opening1822,No
Worst Picture,worst1822,No
Best Cinematography,cinemat1822,No
Best On Screen Combo,combo1822,No
Best Message,message1822,No
Best Performance,perform1822,No
Best Editing,editing1822,No
Best Costume Design,costume1822,No
