homeTeam,awayTeam
Lille,Lyon
Lille,Marseille
Lille,Monaco
Lille,Paris Saint Germain
Lille,Saint-Etienne
Lyon,Lille
Lyon,Marseille
Lyon,Monaco
Lyon,Paris Saint Germain
Lyon,Saint-Etienne
Marseille,Lille
Marseille,Lyon
Marseille,Monaco
Marseille,Paris Saint Germain
Marseille,Saint-Etienne
Monaco,Lille
Monaco,Lyon
Monaco,Marseille
Monaco,Paris Saint Germain
Monaco,Saint-Etienne
Paris Saint Germain,Lille
Paris Saint Germain,Lyon
Paris Saint Germain,Marseille
Paris Saint Germain,Monaco
Paris Saint Germain,Saint-Etienne
Saint-Etienne,Lille
Saint-Etienne,Lyon
Saint-Etienne,Marseille
Saint-Etienne,Monaco
Saint-Etienne,Paris Saint Germain
